codaz;lat;lon;nord;est;hsize
245BG011/1;45,62925611;9,675706739;5053092;1552669;331
245BG013/6;45,63442514;9,693320118;5053678;1554037;65
245BG014/6;45,63841985;9,696551384;5054124;1554285;5
245BG017/1;45,63212213;9,685658262;5053417;1553442;5
245BG017/3;45,63212213;9,685658262;5053417;1553442;2
245BG019/1;45,62851308;9,716441327;5053037;1555845;94
245BG023/5;45,62686907;9,682079348;5052831;1553168;182
245BG024/1;45,63985317;9,681248739;5054273;1553091;99
245BG025/2;45,62627729;9,68920457;5052770;1553724;19
245BG026/1;45,62747072;9,713285119;5052919;1555600;312
245BG027/1;45,62892041;9,695664093;5053068;1554225;3
245BG027/4;45,62892041;9,695664093;5053068;1554225;1
245BG028/1;45,63048908;9,695247296;5053242;1554191;9
245BG029/1;45,63008542;9,699450195;5053200;1554519;55
245BG034/1;45,63643812;9,701222767;5053907;1554651;6
245BG035/1;45,62043422;9,720122392;5052142;1556140;138
245BG038/1;45,6360637;9,703566043;5053867;1554834;27
245BG039/2;45,63556247;9,707485808;5053814;1555140;22
245BG041/1;45,64013485;9,708941906;5054323;1555249;228
245BG042/1;45,65337909;9,695081035;5055785;1554156;10
245BG043/1;45,62594709;9,699116554;5052740;1554497;5
245BG045/1;45,64591597;9,699749677;5054959;1554527;103
245BG051/5;45,62025583;9,683192107;5052097;1553261;0
245BG060/3;45,63882975;9,679286049;5054158;1552939;3
245BG061/1;45,63703491;9,673824247;5053955;1552515;4
245BG072/3;45,63607716;9,698434097;5053865;1554434;8
245BG073/1;45,63980108;9,68092733;5054267;1553066;2
245BG074/3;45,64243911;9,700168371;5054573;1554563;2
245BG076/1;45,63336142;9,712615661;5053573;1555542;8
245BG077/1;45,63253861;9,692719549;5053468;1553992;14
245BG080/2;45,62804215;9,72404261;5052990;1556438;0
245BG082/1;45,64746817;9,693172883;5055127;1554013;30
245BG087/1;45,62830808;9,716118004;5053014;1555820;15
245BG088/1;45,63164327;9,684459305;5053363;1553349;4
245BG093/2;45,63194514;9,700012141;5053407;1554561;0
245BG097/1;45,6370644;9,674928024;5053959;1552601;0
245BG105/1;45,63534341;9,685825813;5053775;1553452;1
245BG106/3;45,62279775;9,69156067;5052385;1553911;0
245BG107/1;45,62874095;9,695572074;5053048;1554218;1
245BG111/1;45,6460996;9,696210171;5054977;1554251;0
245BG114/3;45,62620784;9,6887804;5052762;1553691;0
245BG116/1;45,63602817;9,693173076;5053856;1554024;0
245BG117/1;45,64862079;9,704865255;5055263;1554923;0
245BG123/4;45,63325166;9,67584452;5053536;1552676;10
245BG135/1;45,6436868;9,681849348;5054781;1553137;0
246BG004/3;45,78872854;9,630272295;5070781;1548988;2
246BG005/1;45,78722009;9,694888658;5070655;1554012;2
246BG006/1;45,80678119;9,63720637;5072791;1549511;4
246BG011/1;45,80131187;9,665132325;5072201;1551686;3
246BG013/1;45,77349544;9,685740819;5069124;1553314;1
246BG013/2;45,77349544;9,685740819;5069124;1553314;1
246BG015/1;45,79096357;9,631378188;5071030;1549072;1
246BG017/1;45,79115368;9,632808438;5071052;1549183;3
246BG019/5;45,79981044;9,65391948;5072027;1550816;6
246BG024/1;45,78821702;9,693756036;5070765;1553923;8
246BG026/2;45,78095018;9,674769533;5069945;1552454;0
246BG028/1;45,79918944;9,719846181;5072002;1555940;5
